Name,Area,Files,Website,Institution,City,Country
Immersive Analytics Lab,"AR, Geovis, IA, Infovis, VR",,https://ialab.it.monash.edu/,Monash University,Melbourne,Australia
Human Centered Computing Laboratory,,,,Seoul National University,,
The Human-Computer Interaction Institute,,,,Carnegie Mellon University,,
Information Interaction Lab,,,,University of Michigan School of Information,,
HCI Center,,," https://hci.rwth-aachen.de/",RWTH Aachen University,,
Interact Lab,,," http://interact-lab.com/",University of Sussex,,
Human-Computer Interaction Group,,," https://hci.uni-hannover.de/",Leibniz Universität Hannover,,
HCI Games,,," http://hcigames.com/",University of Waterloo,,
Northwestern HCI,,," http://hci.northwestern.edu/",Northwestern University,,
Bristol Interaction Group (BIG),,," http://www.biglab.co.uk/",Bristol University,,
The Story Lab,,,http://thestorylab.arch.tamu.edu/,Texas A&M University,,
HITLabNZ,,,https://www.hitlabnz.org,,,
Empathic Computing Lab,,,,University of South Australia,,
HCI Lab,,," http://hci.hanyang.ac.kr/",Hanyang University,,
Design Research Lab,,,http://www.design-research-lab.org/,Berlin University of The Arts,,
SPIN (Sensory Perception and Interaction),,,http://www.cs.ubc.ca/labs/spin/frontpage,University of British Columbia,,
Interactive Media Lab,,,https://imld.de/en/,Technische Universitat Dresden,,
iLab (Interactions Lab),,,http://ilab.cpsc.ucalgary.ca/,University of Calgary,,
Human-Computer Interaction,,,https://hci.uni-konstanz.de/en/,University of Konstanz,,
Institute for Visualization and Interactive Systems (VIS),,,https://www.vis.uni-stuttgart.de/en/research/,University of Stuttgart,,
Human-Computer Interaction Research Group,,," https://ecs.wgtn.ac.nz/Groups/HCI/WebHome",Victoria University of Wellington,,